Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
487,fr,same,5462.908138100058,1.6394991999841295,12345,4000.0,0.5,8000.0,0.5,0.9
488,fr,same,5470.816359100048,1.1157420999952592,12345,4000.0,0.5,4000.0,0.5,0.9
489,fr,same,5474.205515400041,2.1088373999809846,12345,4000.0,0.5,4000.0,0.5,0.9
490,fr,same,5478.575084000011,0.7796594999963418,12345,4000.0,0.5,8000.0,0.5,0.9
491,fr,diff,5485.628457000013,0.6782492999918759,12345,4000.0,0.5,4000.0,0.5,0.9
492,fr,diff,5492.675879400049,0.557017499988433,12345,4000.0,0.5,8000.0,0.5,0.9
493,fr,diff,5495.491789400054,0.8202198999933898,12345,4000.0,0.5,4000.0,0.5,0.9
494,fr,diff,5502.600423700002,0.578344100038521,12345,4000.0,0.5,8000.0,0.5,0.9
495,fr,same,5505.43802240002,1.8250002000131644,12345,4000.0,0.5,4000.0,0.5,0.9
496,fr,same,5509.549371500034,0.7629976000171155,12345,4000.0,0.5,4000.0,0.5,0.9
497,fr,same,5512.575616800052,0.6989659999962896,12345,4000.0,0.5,8000.0,0.5,0.9
498,fr,same,5519.545620600053,0.6681905000004917,12345,4000.0,0.5,4000.0,0.5,0.9
499,fr,same,5522.543060700002,0.7832684000022709,12345,4000.0,0.5,4000.0,0.5,0.9
500,fr,same,5525.57525470003,0.7292688000015914,12345,4000.0,0.5,8000.0,0.5,0.9
501,fr,diff,5532.630070000014,0.5917803000193089,12345,4000.0,0.5,8000.0,0.5,0.9
502,fr,diff,5535.477594200056,0.5872110999771394,12345,4000.0,0.5,8000.0,0.5,0.9
503,fr,diff,5538.381285100011,0.6786193000152707,12345,4000.0,0.5,4000.0,0.5,0.9
504,fr,diff,5545.333172800019,0.5713497999822721,12345,4000.0,0.5,8000.0,0.5,0.9
505,fr,diff,5548.169072800025,0.7412345000193454,12345,4000.0,0.5,8000.0,0.5,0.9
